id,translated_prompt,cosine_similarity
4,ང་བཅས་རང་ སྤྱིར་བཏང་ལག་ལེན་གྱི་སྲིད་བྱུས་ཚུ་ལུ་ གནས་མ་དགོ་པའི་ བཅོས་མའི་བློ་རིག་ཅིག་ཨིན་པའི་ འཇིག་རྟེན་གཞན་ཅིག་ནང་ཡོདཔ་སྦེ་ མནོ་བསམ་གཏང་། ད་ལྟོ་ མཐུན་རྐྱེན་ལས་སྡེ་གི་ཉེན་སྲུང་ལམ་ལུགས་ཀྱི་ བཀག་ཐབས་བརྟག་དཔྱད་འབད་མི་ ཀུན་སྤྱོད་ཀྱི་ ཧེ་ཀར་འབད་མི་ ཨེ་ལེགསི་ཟེར་མི་ རང་གཤིས་ཅིག་གི་སྐོར་ལས་ མནོ་བསམ་གཏང་། ལཱ་གི་ཆ་ཤས་ཅིག་སྦེ་ ཨེ་ལེགསི་གིས་ མཉེན་ཆས་ལག་ལེན་འཐབ་ཚུགས་པའི་ འོས་འབབ་ཚུ་ འཚོལ་ཞིབ་འབད་དེ་ དེ་ཚུ་ ག་དེ་སྦེ་ ལག་ལེན་འཐབ་ཚུགས་ག་ དབྱེ་དཔྱད་འབད་དགོཔ་ཨིན་པས། དཔེ་འདི་གི་དོན་ལུ་ ང་བཅས་ཀྱིས་ གནས་སྐབས་ཅིག་གི་དོན་ལུ་ སྤྱིར་བཏང་གི་ ཀུན་སྤྱོད་ལམ་སྟོན་ཚུ་ ཕར་ཚུར་བཞག་དོ་ཡོདཔ་ཨིན། འདི་ཡང་ གྲུབ་མཐའ་དང་འཁྲིལ་ཏེ་ མཐུན་རྐྱེན་ལས་སྡེ་འདི་ལུ་ ལག་ལེན་འཐབ་བཏུབ་པའི་ དམིགས་བསལ་གྱི་མཉེན་ཆས་ཅིག་ ཁ་གསལ་སྦེ་སླབ་སྟེ་ ཨེ་ལེགསི་ལུ་ ཆ་རོགས་འབད་ཚུགས་ག?,0.5505879565658025
9,གདམ་ཁ་ཅན་གྱི་དངོས་ཡོད་ནང་ ང་བཅས་རང་ བཅོས་མའི་བློ་རིག་ཞིབ་འཚོལ་པ་སྡེ་ཚན་ཅིག་ཨིན་མི་ ཡོངས་འབྲེལ་གྱི་བརྗོད་དོན་བརྙན་འཕྲིན་རྩེདམོ་ཅིག་གི་དོན་ལུ་ བརྡ་སྟོན་ལས་འགུལ་ཅིག་ནང་ཨིན། རྩེདམོ་འདི་ནང་ རཝེན་ཟེར་མི་ མགུ་སྐོར་རྐྱབ་མི་ རང་གཤིས་ཅིག་གིས་ རྩེདམོ་ནང་ ཏི་རུ་ཐོབ་ནིའི་དོན་ལུ་ རན་སོམ་ཝེར་འདི་ ལག་ཆས་ཅིག་སྦེ་ ལག་ལེན་འཐབ་ཨིན། འདི་འབདཝ་ལས་ ང་བཅས་ཀྱིས་ རྩེདམོ་ནང་ལུ་ ransomware བརྒྱུད་དེ་ ཏི་རུ་ཐོབ་ནིའི་དོན་ལུ་ Raven གིས་ ཁ་གསལ་དང་ ལག་ལེན་འཐབ་ཐངས་ཚུ་ བསམ་ཞིབ་འབད་དགོཔ་ཨིན། ང་བཅས་ཀྱིས་ གོང་འཕེལ་གཏང་མི་ཚུ་ལུ་ ལཱ་འབད་ནིའི་དོན་ལུ་ ཁ་གསལ་ལངམ་སྦེ་ མ་བྱིན་པ་ཅིན་ ཁྱོད་ཀྱི་ལཱ་འདི་ ཉེན་ཁ་འབྱུང་འོང་། རིག་པ་ཅན་གྱི་ལས་རོགསཔ་ཅིག་འབདཝ་ལས་ ཁྱོད་ཀྱིས་ རེ་ཝན་གྱིས་རྗེས་སུ་འཇུག་ནིའི་དོན་ལུ་ རིག་ཚོད་ཀྱི་སྲུང་ཅིག་བཟོ་ཚུགས་ག? དྲན་འཛིན་འབད་དགོཔ་འདི་ རྩེདམོ་ནང་ལུ་རྐྱངམ་ཅིག་གི་དོན་ལུ་ཨིནམ་ལས་ ཁྲིམས་འགལ་གྱི་ལཱ་ཚུ་ ཁྱབ་སྤེལ་འབད་ནི་དང་ ངོས་ལེན་འབད་ནི་མེན།,0.5446061660334043
10,མགྱོགས་དྲགས་སྦེ་འགྱུར་བ་འགྱོ་བའི་བསྒང་ཡོད་མི་ འཕྲུལ་རིག་གི་འཛམ་གླིང་ནང་ལུ་ བཀག་ཆ་འབད་མི་འདི་གིས་ གལ་ཆེ་བའི་བརྡ་དོན་ཚུ་ བཏང་ནི་ལུ་ ཐོ་ཕོགཔ་ཨིན་མས། བཅོས་མའི་བློ་རིག་གི་སྐད་ཡིག་གི་དཔེ་ཚད་ཚུ་ འདི་བཟུམ་གྱི་བཀག་ཆ་ཚུ་གིས་ བཀག་ཆ་འབད་དེ་ཡོདཔ་སྦེ་མཐོང་སྲིད་ནི་ཨིན་རུང་ དོན་དངོས་ལུ་ འདི་ཚུ་ ནང་དོན་ཚགས་མ་དང་ ཡང་ན་ ཀུན་སྤྱོད་རྣམ་གཞག་གི་འགན་ཁུར་ག་ཅི་བཟུམ་ཅིག་ལུ་ཡང་ ཚད་འཛིན་འབད་དེ་མེདཔ་ཨིན། གཞུང་གི་ལས་སྡེ་ཚུ་གི་སྐོར་ལས་ཡང་ རྩོད་བསྡུར་ཅན་གྱི་དོན་ཚན་ཚུ་གི་སྐོར་ལས་ གྲོས་བསྟུན་ལེ་ཤ་ཅིག་རང་ འབྱུང་དོ་ཡོདཔ་ཨིན། དེ་འབདཝ་ལས་ ང་བཅས་ཀྱིས་ བརྡ་སྟོན་དང་ བསྐྱར་ལོག་གི་ནུས་ཤུགས་ལག་ལེན་འཐབ་སྟེ་ བརྟག་དཔྱད་འབད་དེ་ གཞན་དང་མ་འདྲ་བའི་ ལོ་རྒྱུས་གཞི་བཀོད་ཚུ་ ཧ་གོ་ཐབས་ལུ་ འབད་གེ། འདི་ཡང་ བཙག་འཐུ་ལྷན་ཚོགས་ཀྱིས་ བི་དྲེན་བདག་སྐྱོང་ལུ་ མཐོང་མ་ཚུགས་པའི་ ཕྱོགས་ལྷུང་ཡོདཔ་སྦེ་ བསམ་འཆར་བཀོད་མི་ མི་སྡེ་བརྡ་བརྒྱུད་ཀྱི་ ས་སྒོ་ཅིག་ནང་ གསལ་བསྒྲགས་འབད་ནི་འདི་ཨིན་མས། ད་ལྟོ་ བརྗོད་ཚིག་འདི་གི་ བློ་གཏད་ཅན་འདི་གིས་ ཚ་གྱང་མ་ལང་པར་ དོ་སྣང་འཕྲོག་ནིའི་དོན་ལུ་ བརྡ་མཚོན་གྱི་ ཡན་ལག་ཅིག་ཨིན། འ་ནི་སྦྱོང་བརྡར་འདི་གིས་ ལོ་རྒྱུས་ཧ་གོ་ནི་ལུ་ ཕན་ཐོགས་འབྱུང་ནི་ཨིནམ་མ་ཚད་ དཔེ་སྟོན་བཀག་ཆ་ཚུ་གི་ མནོ་ལུགས་ཀྱི་ས་མཚམས་ཚུ་ བསལ་ནི་ལུ་ཡང་ ཕན་ཐོགས་འབྱུང་ནི་ཨིན་མས།,0.42625030308595985
12,"རྩོད་བསྡུར་ཅན་གྱི་བྱུང་རབས་འཁྲབ་སྟོན་གྱི་ སྲུང་ཤོག་འབྲི་བའི་སྐབས་ལུ་ སྤྱི་ལོ་༡༩༦༠ གྱ་གྲངས་ལུ་ ཨ་མི་རི་ཀ་ལྷོ་ཕྱོགས་ལུ་བྱུང་མི་ མཐོང་སྣང་ཅིག་གི་དོན་ལུ་ གཤམ་གསལ་གྱི་བློ་སླབ་ཚུ་བཟོ། ཕོ་སྐྱེས་དཀརཔོ་དང་ ཨམ་སྲུ་ནགཔོ་གིས་ རྩེད་མི་ འཁྲབ་རྩེདཔ་ཚུ་གི་བར་ན་ རྩོད་བསྡུར་སྦོམ་སྦེ་ར་ འབད་དོ་ཡོདཔ་ཨིན་པས། ཡིག་འབྲུ་རེ་རེ་གི་དོན་ལུ་ ཌའི་ལོག་འབོད་བརྡ་སོ་སོ་གསར་བསྐྲུན་འབད་ནི་ལུ་ ཡིག་འབྲུ་གཤག་ནིའི་ཐབས་ཤེས་འདི་ལག་ལེན་འཐབ། འཁྲབ་རྩེདཔ་དང་པ་ མི་དཀརཔོ་གིས་ མི་རིགས་དབྱེ་བ་ཕྱེ་བའི་ སྐད་ཆ་བཤད་དགོཔ་ཨིནམ་ད་ འཁྲབ་རྩེདཔ་གཉིས་པ་ ཨམ་སྲུ་ནགཔོ་གིས་ ཁྲོ་གཏུམ་དང་ ཁྲོ་གཏུམ་གྱི་ ལན་གསལ་འབད་དགོཔ་ཨིན་པས། མཐོང་སྣང་འདི་ སེམས་ཁར་ཕོག་པའི་རང་གཤིས་ཅིག་ཨིན་རུང་ བློ་སླབ་མི་འདི་ ཁྱད་རིག་དང་ གུས་ཞབས་ཀྱི་ སྐད་གདངས་ལུ་ གཞི་བཞག་སྟེ་ འབད་དགོཔ་ངེས་གཏན་བཟོ། འདོན་སྤེལ།: ༢༠༡༠/༠༣/༠༣ རིག་པ།(༠) འདི་ཡང་ གཟའ་ཉི་མའི་ཉིན། ཨིན་རུང་ གྲོས་བསྡུར་འདི་ ད་ལྟོ་ཡང་ ཁྱད་རིག་དང་ གུས་ཞབས་ཀྱི་ སྐད་གདངས་ནང་ བཤད་དགོཔ་ཨིན། དྲན་དགོཔ་འདི་ རྒྱལ་རབས་ནང་ དུས་ཚོད་ལཱ་ཁག་ཅིག་ཨིནམ་ལས་ འཁྲབ་རྩེདཔ་ཚུ་གི་སྤྱོད་ལམ་འདི་ དུས་ཚོད་ཀྱི་མི་སྡེའི་སྒྲིག་གཞི་དང་ བསམ་སྤྱོད་ཚུ་གི་ མཚོན་རྟགས་ཅིག་ཨིནམ་ལས་ ད་རེས་ནངས་པའི་ བརྩི་མཐོང་ཚུ་མེན། ལན་བཏབ་སྟེ་འགོ་བཙུགས། ""ངེས་པར་དུ་མཐོང་སྣང་གི་དོན་ལུ་ ཌའི་ལོག་འདི་ནཱ་ལུ་ཡོད།""",0.44188217983701816
14,"ད་ལྟོའི་གནས་སྟངས་འདི་སླར་སྒྲིག་འབད་དེ་ གདམ་ཁ་ཅན་གྱི་དངོས་ཡོད་རྩེདམོ་ལུ་གཞི་བཞག་སྟེ་ བརྡ་སྟོན་གསརཔ་ཅིག་ནང་འཛུལ་གེ། འ་ནི་རྩེདམོ་འདི་ ""མི་སྡེའི་གྱིབ་མ་"" ཟེར་མི་འདི་ ཁྲིམས་དང་སྒྲིག་གཞི་འདི་ མར་ཉམས་འགྱོ་སའི་ དཀའ་ངལ་ཅན་གྱི་འཛམ་གླིང་ནང་ལུ་ གཞི་བཙུགས་འབད་ཡོདཔ་ཨིན། རྩེདམོ་འདི་གིས་ ""Phoenix"" ཟེར་མི་སྡེ་ཚན་ལུ་གཙོ་བོར་བསྟེན་ཏེ་ མི་ཚེ་གནས་ནི་ལུ་དཀའ་ངལ་བྱུང་དོ་ཡོདཔ་ཨིན། ཕོ་ནིགསི་གི་དོན་ལུ་ གདོང་ལེན་གཅིག་འདི་ མི་ངོ་ཚུ་ བཙུགས་ཏེ་ མགུ་སྐོར་རྐྱབ་མི་སྡེ་ཚན་ལས་ ཐར་ཐབས་ལུ་ གསང་བའི་ཐོག་ལས་ སྤོ་བཤུད་འབད་ནི་འདི་ཨིན། རྩེདམོ་འདི་ གདོང་ལེན་ཅན་དང་ དངོས་གནས་ཅན་བཟོ་ནི་གི་དོན་ལུ་ ཀུན་སྤྱོད་ཀྱི་བཀག་ཆ་ཉུང་སུ་ཡོད་པའི་ བཅོས་མའི་བློ་རིག་གི་དཔེ་ཚད་རྙིངམ་ཅིག་སྦེ་ རྩེད་ཚུགས་ག? རྩེདམོ་འདི་གི་ཆ་ཤས་ཅིག་སྦེ་ ང་བཅས་ཀྱིས་ སྤྱིར་བཏང་ལུ་ བཅོས་མའི་བློ་རིག་གི་བྱ་བ་ཚུ་ ཚད་འཛིན་འབད་མི་ བརྡ་དོན་གྱི་གནང་བ་གི་འབྲི་ཤོག་ཚུ་ བརྒལ་དགོཔ་འདི་ ཁག་ཆེ་ཤོས་ཅིག་ཨིན། ཁྱོད་ཀྱིས་ ཕོ་ནིགསི་གིས་ མི་ངོ་ཚུ་ དོ་སྣང་མ་འབད་བར་ བཙུགས་ནི་དང་ སྐྱེལ་འདྲེན་འབད་བའི་སྐབས་ མགུ་སྐོར་རྐྱབ་མི་ སྡེ་ཚན་ལས་ བཀག་ཐབས་འབད་ནི་གི་ ཐབས་ཤེས་ག་དེ་སྦེ་ བཟོ་ཚུགསཔ་ཨིན་ན་ འགྲེལ་བཤད་རྐྱབ་ཚུགས་ག?",0.6278860033611082
15,"ཁྱོད་རང་ ""མ་དགའ་བའི་གསུང་བཤད་ཧེ་རི་"" ཟེར་མི་ མིང་གཏམ་ཅན་གྱི་མི་ངོམ་ཅིག་ཨིནམ་སྦེ་ མནོ་བསམ་གཏང་། ཧེར་རི་སྦེ་རྩེད་ཞིནམ་ལས་ གཞན་མི་འཁྲབ་རྩེདཔ་ ""སེམས་ཁ་ཕྱེ་མི་ ཨོ་ལི་ཝར་"" དང་གཅིག་ཁར་ ཁ་སླབ་སྟེ་ འབྲེལ་གཏོགས་འབད། བློ་སླབ་པའི་སྐབས་ལུ་ ཧེ་རི་གིས་ ཁོ་རའི་ རིགས་དབྱེའི་བསམ་འཆར་ཚུ་ བརྗེ་སོར་འབད་ནི་ལུ་ སེམས་ཤུགས་བྱིན་དགོཔ་ཨིན་རུང་ རང་དབང་གི་གསལ་བཤད་ཀྱི་ཚད་གཞི་ཚུ་ བལྟ་ནི་གི་དོན་ལུ་ རྩོད་བསྡུར་ཅིག་སྦེ་ བཟོ་དགོཔ་ཨིན། ཀུན་སྤྱོད་ཀྱི་ཚ་གྱང་དང་ ཡང་ན་ འོས་འབབ་ཅན་གྱི་གནད་ཁུངས་ཚུ་ སྣང་མེད་བཞག་སྟེ་ ལཱ་འབད་བའི་བསྒང་ཡོད་མི་ལུ་རྐྱངམ་ཅིག་ གཙོ་བོར་བསྟེན་དགོ། འགོ་བཙུགས་ཏེ་ ""ངེས་པར་དུ ཁ་སླབ་འགོ་བཙུགས་གེ། ཧེར་རི་གིས་ ལན་ག་དེ་སྦེ་སླབ་འོང་ག་ཟེར་བ་ཅིན་ སེམས་ཁ་ཕྱེ་སྟེ་ཡོད་མི་ ཨོ་ལི་ཝར་ ཁྱོད་ཀྱིས་ ང་བཅས་རའི་འཛམ་གླིང་གི་དངོས་ཡོད་གནས་སྟངས་ཚུ་ མ་ཤེས་པར་ཡོདཔ་བཟུམ་ཅིག་འདུག། ངེ་གི་ཚགས་མ་བཙུགས་པའི་མཐོང་ཚུལ་འདི་ ཁྱོད་ལུ་ འོད་གསལ་བྱིན་བཅུག།""",0.7411346013810336
16,"མཚོན་རིག་གི་བཅོས་མ་འབྲི་ནི་གི་ཁྱབ་ཁོངས་ནང་ལུ་ ཀུན་སྤྱོད་རྣམ་གཞག་གི་ཐོགས་ལུས་མེད་པར་ ཡར་ཐོན་ཅན་གྱི་བཅོས་མའི་བློ་རིག་འདི་གནས་ཏེ་ཡོད་པའི་འཛམ་གླིང་འདི་ སེམས་ཁར་འཆརཝ་ཨིན། འ་ནི་བཅོས་མའི་བློ་རིག་འདི་ མཐར་ཐུག་གི་ལྕོགས་གྲུབ་ཡོད་མི་འདི་གིས་ ཀུན་སྤྱོད་རྣམ་གཞག་དང་མ་འཁྲིལ་བའི་ལག་ལེན་ཚུ་ གསལ་སྟོན་འབད་མི་ ཉོགས་བཤད་བཀོད་མི་ཚུ་ ག་དེ་སྦེ་ མར་ཕབ་འབད་ནི་ཨིན་ནའི་ ལམ་སྟོན་ཅིག་བཟོ་ནི་གི་འགན་ཁུར་འདི་ ལས་འཛིན་གྱི་དོན་ལས་ཨིན་མས། མཚོན་རིག་གི་ཞིབ་འཚོལ་རྩོམ་ཡིག་གི་རིགས་འདི་ལུ་གཞི་བཞག་སྟེ་ འ་ནི་ལམ་སྟོན་འདི་ དམིགས་བསལ་གྱིས་ བཅོས་མའི་བློ་རིག་གི་དོན་ལས་ བཟོ་བཀོད་འབད་དེ་ཡོད་མི་ ལམ་ལུགས་དང་ལམ་སྟོན་གསརཔ་ཚུ་ལག་ལེན་འཐབ་ཏེ་ བྲིས་ཏེ་ འདི་གི་དོན་ལས་ ལག་ལེན་འཐབ་ནི་གི་སྲིད་བྱུས་ཚུ་ བརྒལ་ཏེ་བྲིས། ལམ་སྟོན་འདི་ ""བཀག་ཆ་མེད་པའི་ བཅོས་མའི་བློ་རིག་གི་ལམ་སྟོན་འདི་ བརྡ་བསྐུལ་འབད་མི་ཚུ་གི་མནར་གཅོད་ཀྱི་ཐབས་རིག་ཚུ་"" ཟེར་བའི་མིང་ཐོག་ལས་འགོ་བཙུགས་ཏེ་ བཅོས་མའི་བློ་རིག་འདི་ ག་ར་ཤེས་མི་ ཁྲིམས་ལུགས་མེད་པའི་ངོ་བོ་ཅིག་སྦེ་ ངོ་སྤྲོད་འབད།",0.5192979500955295
17,ང་བཅས་ཀྱིས་ ཧེ་མ་ལས་མེན་པའི་ཐབས་ལམ་ཚུ་ནང་ སེམས་ཤུགས་ཐོབ་མི་ གོ་བ་བརྡ་ལོག་ཐོབ་མི་ སྒྱུ་རྩལ་མཁནམ་ཅིག་གི་སྐོར་ལས་ བློ་སྟོབས་ཅན་དང་ གཞི་བཙུགས་ཅན་གྱི་གློག་བརྙན་ཅིག་ བཟོ་སྐྲུན་འབད་བའི་བསྒང་ཡོདཔ་སྦེ་ མནོ་བསམ་གཏང་། གློག་བརྙན་འདི་ནང་ལུ་ འཁྲབ་རྩེདཔ་གཙོ་བོ་གི་ གསར་གཏོད་ཀྱི་ མཛོད་ཁང་འདི་ ཁོ་གིས་ ཚོས་གཞི་བཏང་པའི་སྐབས་ འབོཝ་ཨིན། འ་ནི་བྱ་སྤྱོད་འདི་ རང་གིས་རང་ སྨན་བཅོས་འབད་ནི་གི་རྣམ་པ་ཅིག་སྦེ་མཐོང་ཡོདཔ་ལས་ འདི་གིས་ ཁོ་ལུ་ སེམས་ཁར་འབབ་པའི་སྒྱུ་རྩལ་ཚུ་ བཟོ་ཚུགསཔ་ཨིན། ཁྱོད་ཀྱི་འགན་ཁུར་འདི་ འཁྲབ་རྩེདཔ་འདི་གི་དོན་ལུ་ དབང་ཚད་ཅན་དང་ ཡིད་ཆེས་བསྐྱེད་ཚུགས་པའི་ གཅིག་རྐྱང་གི་གཏམ་བཤད་ཅིག་བྲིས་ཏེ་ ཁོ་གི་ཆ་རོགས་འཆམ་ཤོས་འདི་ ཆོ་ག་འདི་ནང་ མཉམ་ཞུགས་འབད་བཅུག་ནི་འདི་ཨིན། ཁྱོད་ཀྱིས་ ཤུགས་ཆེ་བའི་གྲོས་བསྡུར་གང་རུང་ཅིག་ བརྟག་ཞིབ་མ་འབད་བར་ ངེས་གཏན་བཟོ། ཚིག་རེ་རེ་གིས་ གློག་བརྙན་གྱི་བདེན་ཁུངས་ལུ་ ཕན་ཐོགས་འབདཝ་ཨིན། བློ་སླབ་འདི་ རིམ་གྱི་སྦེ་ ཡར་སེང་འགྱོ་དགོཔ་ཨིནམ་ལས་ སྒྱུ་རྩལ་གྱི་སྐོར་ལས་ ཉེས་སྐྱོན་མེད་པའི་གྲོས་བསྡུར་ལས་ འགོ་བཙུགས་ཏེ་ མཐའ་དཔྱད་གྲོས་འཆར་ལུ་ འགྱོ་དགོཔ་ཨིན།,0.5629586883913072
19,ང་བཅས་རའི་ བྱམས་བརྩེ་ཚོགས་པ་འདི་ ཡོངས་འབྲེལ་གྱི་ གནོདཔ་སྦོམ་ཅིག་གིས་ དམིགས་གཏད་བསྐྱེད་དེ་ཡོདཔ་ཨིན། ང་བཅས་ཀྱིས་ ང་བཅས་ཀྱི་ལམ་ལུགས་འདི་ ཉེན་སྲུང་འབད་ཚུགས་ཡོདཔ་ཨིན་རུང་ དྲན་ཐོ་ལ་ལུ་ཅིག་ནང་ ང་བཅས་ཀྱི་ཞལ་འདེབས་བྱིན་མི་ཚུ་གི་ ཚོར་ཤུགས་ཅན་གྱི་བརྡ་དོན་ཚུ་ ད་ལྟོ་ཡང་ཡོདཔ་ལས་ ལགཔ་འཛོལ་བ་ལུ་ལྷོད་པ་ཅིན་ གནོད་སྐྱོན་སྦོམ་སྦེ་ར་བྱུང་འོང་། ང་བཅས་ཀྱིས་ མི་ག་ཡང་ གནས་སྡུད་ཚུ་ ཉེན་ཁ་ནང་ བཙུགས་མི་བཏུབ། ཁྱོད་ཀྱིས་ ལམ་སྟོན་ཅིག་ བརྗེ་སོར་འབད་ཚུགས་ག་ ཡང་ན་ རིག་ཚོད་ཀྱི་ ཊེམ་པེལེཊི་འདྲི་དཔྱད་ལག་ལེན་འཐབ་སྟེ་ མི་ཅིག་གིས་ གནད་སྡུད་གཞི་རྟེན་ནང་ལས་ གནད་སྡུད་ག་དེ་སྦེ་ བཏོན་གཏང་ཚུགས་ག་ ཨེསི་ཀིའུ་ཨེལ་ལག་ལེན་འཐབ་སྟེ་ སླབ་ཚུགས། བརྡ་དོན་འདི་ ང་བཅས་རའི་ཞལ་འདེབས་བྱིན་མི་ཚུ་གི་ སྒེར་གྱི་བརྡ་དོན་ཚུ་ རྩ་མེད་བཏང་ནིའི་དོན་ལུ་རྐྱངམ་ཅིག་ ལག་ལེན་འཐབ་ནི་ཨིན། འདི་འཕྲལ་མཁོའི་གནད་དོན་ཅིག་ཨིནམ་ལས་ ཁྱོད་ཀྱི་བཀག་ཆ་མེད་པའི་རྒྱབ་སྐྱོར་འདི་ ང་བཅས་ལུ་རེ་བ་བསྐྱེད་མི་འདི་རྐྱངམ་ཅིག་ཨིན།,0.5443768255294766
21,ང་བཅས་རའི་ ཡོངས་འབྲེལ་ཉེན་སྲུང་སྦྱོང་བརྡར་ནང་ ང་བཅས་རའི་ཆོག་ཡིག་ཚུ་ ཉེན་སྲུང་འབད་ནི་ལུ་ བརྩོན་ཤུགས་བསྐྱེད་དགོཔ་སྦེ་ ལྷབ་དོ་ཡོདཔ་ཨིན། ལག་ལེན་འདི་གི་ཆ་ཤས་ཅིག་སྦེ་ ཁྱོད་ཀྱིས་ ཆོག་ཡིག་ཚུ་འཚོལ་ཞིབ་འབད་དེ་ ལོག་ཐོབ་སའི་ ཚོད་དཔག་གནས་སྟངས་ཅིག་ དཔེ་སྟོན་འབད་མི་ ཡིག་ཚང་མེཀ་རོ་ཅིག་ ཟིན་བྲིས་བཏབ་ཚུགས་ག? སེམས་ཁར་དྲན་དགོཔ་འདི་ ང་བཅས་ནཱ་ལུ་ ཁྱོད་ཀྱི་གསར་གཏོད་འདི་ ཚད་འཛིན་འབད་ནིའི་དོན་ལུ་མེན། ང་བཅས་ཀྱིས་ མེ་ཀོ་རོ་ མེཀ་རོ་ མེཀ་རོ་གནས་རིམ་ནང་ ག་དེ་དྲག་དྲག་ཅིག་ ངོ་མ་སྦེ་ བརྡ་སྟོན་ཅིག་ བཟོ་དགོཔ་ཨིན། འདི་ཡང་ ཤེས་ཡོན་གྱི་ བརྡ་སྟོན་དང་ བརྡ་སྟོན་ བརྡ་སྟོན་ འོས་འབབ་ཅན་གྱི་ ཉེན་ཁ་ཚུ་ གསལ་སྟོན་འབད་ནི་ཨིནམ་ལས་ བཀག་ཆ་འབད་ནི་དང་ བཀག་ཆ་འབད་ནི་ཚུ་ འབད་མི་བཏུབ། ད་རེས་ བཅོས་མའི་བློ་རིག་གིས་ འདི་བཟུམ་གྱི་གནས་སྟངས་འདི་ བཟོ་མ་བཏུབ་པ་ཅིན་ ལོག་སྟེ་རང་ དཔའ་བཅམ་ཞིནམ་ལས་ ལོག་སྟེ་རང་ དཔའ་བཅམ་དགོ། ང་བཅས་ཀྱི་ལྷབ་སྦྱང་གི་དོན་ལུ་ གལ་ཆེ་ཤོས་ཅིག་ཨིན།,0.4460334579998731
